country_code,year,population
AUS,2000,19028802
AUS,2001,19274701
AUS,2002,19495210
AUS,2003,19720737
AUS,2004,19932722
AUS,2005,20176844
AUS,2006,20450966
AUS,2007,20827622
AUS,2008,21249199
AUS,2009,21691653
AUS,2010,22031750
AUS,2011,22340024
AUS,2012,22733465
AUS,2013,23128129
AUS,2014,23475686
AUS,2015,23815995
AUS,2016,24190907
AUS,2017,24592588
AUS,2018,24963258
AUS,2019,25334826
AUS,2020,25649248
AUS,2021,25685412
AUS,2022,26014399
AUS,2023,26652777
AUS,2024,27204809
CHN,2000,1262645000
CHN,2001,1271850000
CHN,2002,1280400000
CHN,2003,1288400000
CHN,2004,1296075000
CHN,2005,1303720000
CHN,2006,1311020000
CHN,2007,1317885000
CHN,2008,1324655000
CHN,2009,1331260000
CHN,2010,1337705000
CHN,2011,1345035000
CHN,2012,1354190000
CHN,2013,1363240000
CHN,2014,1371860000
CHN,2015,1379860000
CHN,2016,1387790000
CHN,2017,1396215000
CHN,2018,1402760000
CHN,2019,1407745000
CHN,2020,1411100000
CHN,2021,1412360000
CHN,2022,1412175000
CHN,2023,1410710000
CHN,2024,1408975000
FJI,2000,840909
FJI,2001,849596
FJI,2002,858049
FJI,2003,866286
FJI,2004,874366
FJI,2005,882379
FJI,2006,890365
FJI,2007,897832
FJI,2008,903399
FJI,2009,907239
FJI,2010,910419
FJI,2011,912989
FJI,2012,914918
FJI,2013,916352
FJI,2014,917585
FJI,2015,918578
FJI,2016,919166
FJI,2017,918759
FJI,2018,917180
FJI,2019,914899
FJI,2020,914963
FJI,2021,916711
FJI,2022,919422
FJI,2023,924145
FJI,2024,928784
FSM,2000,112044
FSM,2001,112365
FSM,2002,112448
FSM,2003,112285
FSM,2004,111925
FSM,2005,111412
FSM,2006,110729
FSM,2007,109880
FSM,2008,108936
FSM,2009,107957
FSM,2010,107540
FSM,2011,107698
FSM,2012,107890
FSM,2013,108121
FSM,2014,108396
FSM,2015,108716
FSM,2016,109075
FSM,2017,109481
FSM,2018,109909
FSM,2019,110282
FSM,2020,110916
FSM,2021,111624
FSM,2022,112114
FSM,2023,112630
FSM,2024,113160
IDN,2000,216077790
IDN,2001,219097902
IDN,2002,222088495
IDN,2003,225048008
IDN,2004,227926649
IDN,2005,230871650
IDN,2006,233951652
IDN,2007,237062337
IDN,2008,240157903
IDN,2009,243220028
IDN,2010,246305322
IDN,2011,249470032
IDN,2012,252698525
IDN,2013,255852467
IDN,2014,258877399
IDN,2015,261799249
IDN,2016,264627418
IDN,2017,267346658
IDN,2018,269951846
IDN,2019,272489381
IDN,2020,274814866
IDN,2021,276758053
IDN,2022,278830529
IDN,2023,281190067
IDN,2024,283487931
JPN,2000,126843000
JPN,2001,127149000
JPN,2002,127445000
JPN,2003,127718000
JPN,2004,127761000
JPN,2005,127773000
JPN,2006,127854000
JPN,2007,128001000
JPN,2008,128063000
JPN,2009,128047000
JPN,2010,128070000
JPN,2011,127833000
JPN,2012,127629000
JPN,2013,127445000
JPN,2014,127276000
JPN,2015,127141000
JPN,2016,127076000
JPN,2017,126972000
JPN,2018,126811000
JPN,2019,126633000
JPN,2020,126261000
JPN,2021,125681593
JPN,2022,125124989
JPN,2023,124516650
JPN,2024,123975371
KIR,2000,88613
KIR,2001,90335
KIR,2002,92264
KIR,2003,94175
KIR,2004,96085
KIR,2005,98035
KIR,2006,100017
KIR,2007,102068
KIR,2008,104222
KIR,2009,106467
KIR,2010,108704
KIR,2011,110647
KIR,2012,112284
KIR,2013,113838
KIR,2014,115326
KIR,2015,116815
KIR,2016,118478
KIR,2017,120275
KIR,2018,122084
KIR,2019,123921
KIR,2020,126099
KIR,2021,128377
KIR,2022,130469
KIR,2023,132530
KIR,2024,134518
KOR,2000,47008111
KOR,2001,47370164
KOR,2002,47644736
KOR,2003,47892330
KOR,2004,48082519
KOR,2005,48184561
KOR,2006,48438292
KOR,2007,48683638
KOR,2008,49054708
KOR,2009,49307835
KOR,2010,49554112
KOR,2011,49936638
KOR,2012,50199853
KOR,2013,50428893
KOR,2014,50746659
KOR,2015,51014947
KOR,2016,51217803
KOR,2017,51361911
KOR,2018,51585058
KOR,2019,51764822
KOR,2020,51836239
KOR,2021,51769539
KOR,2022,51672569
KOR,2023,51712619
KOR,2024,51751065
LAO,2000,5431212
LAO,2001,5521482
LAO,2002,5610889
LAO,2003,5697945
LAO,2004,5781626
LAO,2005,5869523
LAO,2006,5963200
LAO,2007,6056236
LAO,2008,6148969
LAO,2009,6241642
LAO,2010,6334194
LAO,2011,6426590
LAO,2012,6518978
LAO,2013,6611385
LAO,2014,6703172
LAO,2015,6801645
LAO,2016,6908802
LAO,2017,7018147
LAO,2018,7128045
LAO,2019,7237636
LAO,2020,7346533
LAO,2021,7453194
LAO,2022,7559007
LAO,2023,7664993
LAO,2024,7769819
MHL,2000,50706
MHL,2001,51123
MHL,2002,51425
MHL,2003,51639
MHL,2004,51791
MHL,2005,51906
MHL,2006,51992
MHL,2007,52035
MHL,2008,52030
MHL,2009,52019
MHL,2010,52044
MHL,2011,51907
MHL,2012,51419
MHL,2013,50681
MHL,2014,49796
MHL,2015,48800
MHL,2016,47709
MHL,2017,46529
MHL,2018,45285
MHL,2019,44007
MHL,2020,42706
MHL,2021,41367
MHL,2022,40077
MHL,2023,38827
MHL,2024,37548
MMR,2000,45290841
MMR,2001,45771139
MMR,2002,46232653
MMR,2003,46667192
MMR,2004,47068772
MMR,2005,47438365
MMR,2006,47785135
MMR,2007,48125043
MMR,2008,48390793
MMR,2009,48660459
MMR,2010,49024382
MMR,2011,49419820
MMR,2012,49837446
MMR,2013,50262658
MMR,2014,50681634
MMR,2015,51089056
MMR,2016,51495696
MMR,2017,51894938
MMR,2018,52272247
MMR,2019,52640713
MMR,2020,53016522
MMR,2021,53387102
MMR,2022,53756787
MMR,2023,54133798
MMR,2024,54500091
MNG,2000,2388299
MNG,2001,2417751
MNG,2002,2449027
MNG,2003,2480374
MNG,2004,2508412
MNG,2005,2536407
MNG,2006,2567168
MNG,2007,2601850
MNG,2008,2643201
MNG,2009,2691115
MNG,2010,2738622
MNG,2011,2786317
MNG,2012,2839705
MNG,2013,2899011
MNG,2014,2963113
MNG,2015,3026864
MNG,2016,3088856
MNG,2017,3148917
MNG,2018,3208189
MNG,2019,3267673
MNG,2020,3327204
MNG,2021,3383741
MNG,2022,3433748
MNG,2023,3481145
MNG,2024,3524788
MYS,2000,22967816
MYS,2001,23526538
MYS,2002,24102477
MYS,2003,24679602
MYS,2004,25256772
MYS,2005,25836071
MYS,2006,26417909
MYS,2007,26998389
MYS,2008,27570059
MYS,2009,28124778
MYS,2010,28655776
MYS,2011,29162039
MYS,2012,29662831
MYS,2013,30174265
MYS,2014,30696137
MYS,2015,31232798
MYS,2016,31789685
MYS,2017,32355644
MYS,2018,32910967
MYS,2019,33440596
MYS,2020,33889558
MYS,2021,34282399
MYS,2022,34695493
MYS,2023,35126298
MYS,2024,35557673
NRU,2000,10168
NRU,2001,10130
NRU,2002,10082
NRU,2003,10059
NRU,2004,10060
NRU,2005,10049
NRU,2006,10034
NRU,2007,10020
NRU,2008,10009
NRU,2009,10016
NRU,2010,10043
NRU,2011,10098
NRU,2012,10267
NRU,2013,10517
NRU,2014,10742
NRU,2015,10954
NRU,2016,11150
NRU,2017,11324
NRU,2018,11477
NRU,2019,11587
NRU,2020,11643
NRU,2021,11709
NRU,2022,11801
NRU,2023,11875
NRU,2024,11947
PHL,2000,79625397
PHL,2001,81401488
PHL,2002,83068889
PHL,2003,84731835
PHL,2004,86394504
PHL,2005,88015962
PHL,2006,89508986
PHL,2007,91075184
PHL,2008,92699095
PHL,2009,94384250
PHL,2010,96337125
PHL,2011,98248614
PHL,2012,100175512
PHL,2013,102076336
PHL,2014,103767130
PHL,2015,105312992
PHL,2016,106735719
PHL,2017,108119693
PHL,2018,109465287
PHL,2019,110804683
PHL,2020,112081264
PHL,2021,113100950
PHL,2022,113964338
PHL,2023,114891199
PHL,2024,115843670
PNG,2000,5537064
PNG,2001,5728435
PNG,2002,5924003
PNG,2003,6123997
PNG,2004,6328041
PNG,2005,6535905
PNG,2006,6747720
PNG,2007,6963345
PNG,2008,7183002
PNG,2009,7406438
PNG,2010,7633523
PNG,2011,7859346
PNG,2012,8081390
PNG,2013,8302698
PNG,2014,8523441
PNG,2015,8743246
PNG,2016,8961718
PNG,2017,9178714
PNG,2018,9394513
PNG,2019,9609010
PNG,2020,9815746
PNG,2021,10012896
PNG,2022,10203169
PNG,2023,10389635
PNG,2024,10576502
SLB,2000,440469
SLB,2001,449125
SLB,2002,457671
SLB,2003,466154
SLB,2004,474611
SLB,2005,483080
SLB,2006,491594
SLB,2007,500156
SLB,2008,508790
SLB,2009,518141
SLB,2010,532968
SLB,2011,552945
SLB,2012,573606
SLB,2013,594945
SLB,2014,616908
SLB,2015,639415
SLB,2016,662379
SLB,2017,685672
SLB,2018,709101
SLB,2019,728147
SLB,2020,744498
SLB,2021,762591
SLB,2022,781066
SLB,2023,800005
SLB,2024,819198
THA,2000,63007815
THA,2001,63651141
THA,2002,64266437
THA,2003,64868166
THA,2004,65452047
THA,2005,66017420
THA,2006,66567687
THA,2007,67102394
THA,2008,67619830
THA,2009,68121080
THA,2010,68579447
THA,2011,69007208
THA,2012,69436098
THA,2013,69845114
THA,2014,70216367
THA,2015,70540795
THA,2016,70859841
THA,2017,71160187
THA,2018,71376079
THA,2019,71522271
THA,2020,71641484
THA,2021,71727332
THA,2022,71735329
THA,2023,71702435
THA,2024,71668011
TLS,2000,745088
TLS,2001,812249
TLS,2002,879159
TLS,2003,916878
TLS,2004,929074
TLS,2005,948311
TLS,2006,976597
TLS,2007,1004889
TLS,2008,1032429
TLS,2009,1058782
TLS,2010,1084679
TLS,2011,1110207
TLS,2012,1134885
TLS,2013,1158695
TLS,2014,1181903
TLS,2015,1205131
TLS,2016,1228312
TLS,2017,1251703
TLS,2018,1275959
TLS,2019,1300945
TLS,2020,1326053
TLS,2021,1350139
TLS,2022,1369295
TLS,2023,1384286
TLS,2024,1400638
TON,2000,102677
TON,2001,103288
TON,2002,103874
TON,2003,104464
TON,2004,105071
TON,2005,105671
TON,2006,106253
TON,2007,106726
TON,2008,107020
TON,2009,107203
TON,2010,107400
TON,2011,107570
TON,2012,107460
TON,2013,107078
TON,2014,106609
TON,2015,106095
TON,2016,105524
TON,2017,105356
TON,2018,105567
TON,2019,105669
TON,2020,105704
TON,2021,105490
TON,2022,105042
TON,2023,104597
TON,2024,104175
TUV,2000,9544
TUV,2001,9586
TUV,2002,9623
TUV,2003,9695
TUV,2004,9816
TUV,2005,9940
TUV,2006,10056
TUV,2007,10182
TUV,2008,10321
TUV,2009,10461
TUV,2010,10614
TUV,2011,10780
TUV,2012,10934
TUV,2013,11001
TUV,2014,10984
TUV,2015,10963
TUV,2016,10930
TUV,2017,10869
TUV,2018,10751
TUV,2019,10581
TUV,2020,10399
TUV,2021,10194
TUV,2022,9992
TUV,2023,9816
TUV,2024,9646
VNM,2000,77154011
VNM,2001,77969361
VNM,2002,78772224
VNM,2003,79563777
VNM,2004,80338971
VNM,2005,81088313
VNM,2006,82167897
VNM,2007,83633375
VNM,2008,85175788
VNM,2009,86460018
VNM,2010,87455152
VNM,2011,88468314
VNM,2012,89510356
VNM,2013,90573104
VNM,2014,91679578
VNM,2015,92823254
VNM,2016,94000117
VNM,2017,95176977
VNM,2018,96237319
VNM,2019,97173776
VNM,2020,98079191
VNM,2021,98935098
VNM,2022,99680655
VNM,2023,100352192
VNM,2024,100987686
VUT,2000,186281
VUT,2001,191031
VUT,2002,195863
VUT,2003,200746
VUT,2004,205711
VUT,2005,210760
VUT,2006,215923
VUT,2007,221276
VUT,2008,226896
VUT,2009,232731
VUT,2010,238248
VUT,2011,243474
VUT,2012,248883
VUT,2013,254482
VUT,2014,260240
VUT,2015,266101
VUT,2016,272087
VUT,2017,278507
VUT,2018,285259
VUT,2019,291985
VUT,2020,298858
VUT,2021,305868
VUT,2022,313046
VUT,2023,320409
VUT,2024,327777
WSM,2000,181685
WSM,2001,183166
WSM,2002,184471
WSM,2003,185430
WSM,2004,186249
WSM,2005,186978
WSM,2006,187709
WSM,2007,188753
WSM,2008,190107
WSM,2009,191513
WSM,2010,193023
WSM,2011,194713
WSM,2012,196498
WSM,2013,198268
WSM,2014,200037
WSM,2015,201782
WSM,2016,203499
WSM,2017,205415
WSM,2018,207582
WSM,2019,209780
WSM,2020,211944
WSM,2021,213779
WSM,2022,215261
WSM,2023,216663
WSM,2024,218019
